holiday_at_shipping,approval_time_hours,handling_time_hours,purchase_hour,purchase_day_of_week,is_weekend,price,freight_value,product_weight_g,volume_cm3,distance_km,same_city,delivered_on_time,seller_geolocation_lat,seller_geolocation_lng,seller_total_rainfall_period_mm,seller_max_rain_intensity_mm_h,seller_max_wind_gust_period_ms,seller_interval_code,seller_rain_class_code,seller_wind_class_code,customer_geolocation_lat,customer_geolocation_lng,customer_total_rainfall_period_mm,customer_max_rain_intensity_mm_h,customer_max_wind_gust_period_ms,customer_interval_code,customer_rain_class_code,customer_wind_class_code,month,seller_accumulated_rainfall_3_days_mm,seller_is_heavy_rain,seller_is_strong_wind,customer_accumulated_rainfall_3_days_mm,customer_is_heavy_rain,customer_is_strong_wind,seller_meso_metropolitana_de_sao_paulo,seller_meso_araraquara,seller_meso_piracicaba,seller_meso_ribeirao_preto,seller_meso_sao_jose_do_rio_preto,seller_meso_campinas,seller_meso_vale_do_paraiba_paulista,seller_meso_macro_metropolitana_paulista,seller_meso_bauru,seller_meso_presidente_prudente,seller_meso_marilia,seller_meso_assis,seller_meso_aracatuba,seller_meso_litoral_sul_paulista,seller_meso_itapetininga,customer_meso_metropolitana_de_sao_paulo,customer_meso_piracicaba,customer_meso_campinas,customer_meso_vale_do_paraiba_paulista,customer_meso_ribeirao_preto,customer_meso_sao_jose_do_rio_preto,customer_meso_macro_metropolitana_paulista,customer_meso_bauru,customer_meso_araraquara,customer_meso_presidente_prudente,customer_meso_marilia,customer_meso_assis,customer_meso_aracatuba,customer_meso_itapetininga,customer_meso_litoral_sul_paulista
0,0.839,30.87,0,3,0,64.99,11.06,400,11250.0,144.862,0,1,-23.48333333,-46.61666666,0.0,0.0,7.3,2,0,4,-23.85138888,-48.16444444,0.0,0.0,10.3,3,0,5,4,1.2,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.172,6.696,8,1,0,123.43,11.47,300,1936.0,138.697,0,1,-22.70277777,-47.62305554,0.0,0.0,7.4,3,0,4,-23.85138888,-48.16444444,0.0,0.0,6.7,3,0,4,4,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1.688,129.133,23,2,0,101.0,13.29,2500,5400.0,180.597,0,1,-23.48333333,-46.61666666,0.2,0.2,4.3,2,1,3,-23.85138888,-48.16444444,0.0,0.0,6.7,3,0,4,4,0.2,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.142,22.238,18,1,0,49.0,10.96,250,1512.0,198.577,0,1,-23.95194444,-46.53055554,0.0,0.0,4.5,3,0,3,-23.85138888,-48.16444444,0.0,0.0,5.6,3,0,4,5,0.0,0,0,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.177,90.118,14,5,1,69.9,11.1,700,8000.0,164.609,0,1,-23.48333333,-46.61666666,0.0,0.0,2.8,2,0,2,-23.85138888,-48.16444444,0.0,0.0,7.6,3,0,4,5,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1.036,339.032,12,3,0,89.8,12.02,425,6396.0,311.38,0,0,-22.9486111,-49.89416666,0.0,0.0,6.2,3,0,4,-23.85138888,-48.16444444,0.0,0.0,6.1,2,0,4,5,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,29.215,12.329,22,2,0,69.9,12.83,800,23625.0,253.654,0,1,-21.85555555,-48.66666666,0.0,0.0,8.2,3,0,5,-23.85138888,-48.16444444,13.2,4.6,6.7,3,2,4,5,0.0,0,0,13.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.2,63.666,23,5,1,109.9,12.27,2000,23625.0,254.34,0,1,-21.85555555,-48.66666666,0.0,0.0,6.4,3,0,4,-23.85138888,-48.16444444,0.0,0.0,9.2,3,0,5,5,0.0,0,0,22.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.207,3.611,7,5,1,92.5,13.67,2963,47520.0,175.124,0,1,-23.95194444,-46.53055554,0.0,0.0,2.8,2,0,2,-23.85138888,-48.16444444,0.0,0.0,5.6,3,0,4,5,0.0,0,0,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.21,4.038,10,1,0,139.9,12.48,500,2760.0,177.184,0,1,-22.70277777,-47.62305554,0.2,0.2,5.8,3,1,4,-23.85138888,-48.16444444,0.0,0.0,5.6,3,0,4,5,0.2,0,0,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.232,1.012,9,5,1,69.99,12.83,500,1056.0,106.853,0,1,-23.724501,-46.677501,0.0,0.0,9.5,2,0,5,-23.85138888,-48.16444444,0.0,0.0,4.9,3,0,3,6,0.2,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.251,32.085,22,2,0,76.9,10.31,950,4800.0,256.431,0,1,-21.85555555,-48.66666666,0.0,0.0,4.8,2,0,3,-23.85138888,-48.16444444,0.0,0.0,7.5,3,0,4,6,0.0,0,0,4.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.251,32.085,22,2,0,65.9,10.31,900,4800.0,256.431,0,1,-21.85555555,-48.66666666,0.0,0.0,4.8,2,0,3,-23.85138888,-48.16444444,0.0,0.0,7.5,3,0,4,6,0.0,0,0,4.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.251,32.085,22,2,0,82.4,15.46,1100,11286.0,256.431,0,1,-21.85555555,-48.66666666,0.0,0.0,4.8,2,0,3,-23.85138888,-48.16444444,0.0,0.0,7.5,3,0,4,6,0.0,0,0,4.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.145,67.783,14,6,1,24.99,17.97,50,612.0,356.21,0,1,-21.08555555,-49.92055554,0.0,0.0,2.1,2,0,2,-23.85138888,-48.16444444,0.0,0.0,7.5,3,0,4,6,0.0,0,0,4.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.183,65.078,19,2,0,49.9,11.85,700,18375.0,174.467,0,1,-23.48333333,-46.61666666,0.0,0.0,12.0,3,0,6,-23.85138888,-48.16444444,0.0,0.0,4.8,3,0,3,6,0.0,0,0,0.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,10.413,228.003,16,2,0,279.9,13.46,280,1568.0,83.913,0,1,-22.70277777,-47.62305554,0.0,0.0,8.8,3,0,5,-23.85138888,-48.16444444,0.0,0.0,9.5,3,0,5,6,0.0,0,0,2.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.234,27.703,10,3,0,129.99,13.93,1600,15750.0,134.728,0,1,-23.48333333,-46.61666666,0.0,0.0,3.9,3,0,3,-23.85138888,-48.16444444,0.0,0.0,6.7,4,0,4,6,0.0,0,0,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,32.861,57.318,19,0,0,14.0,13.37,2150,26208.0,120.866,0,1,-22.70277777,-47.62305554,0.0,0.0,6.2,3,0,4,-23.85138888,-48.16444444,0.0,0.0,5.9,4,0,4,7,0.0,0,0,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,32.861,57.318,19,0,0,14.0,13.37,2150,26208.0,120.866,0,1,-22.70277777,-47.62305554,0.0,0.0,6.2,3,0,4,-23.85138888,-48.16444444,0.0,0.0,5.9,4,0,4,7,0.0,0,0,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.208,33.209,7,2,0,54.99,13.5,200,3960.0,124.892,0,1,-23.724501,-46.677501,0.0,0.0,8.0,3,0,5,-23.85138888,-48.16444444,0.0,0.0,9.5,4,0,5,7,0.0,0,0,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.188,18.447,0,4,0,29.0,12.69,800,8000.0,161.543,0,1,-23.95194444,-46.53055554,0.0,0.0,2.9,4,0,2,-23.85138888,-48.16444444,0.0,0.0,5.8,4,0,4,7,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,31.501,29.601,20,0,0,29.0,11.85,250,640.0,130.64,0,1,-23.724501,-46.677501,0.0,0.0,2.7,2,0,2,-23.85138888,-48.16444444,0.0,0.0,8.7,4,0,5,7,0.0,0,0,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.169,126.546,14,4,0,52.9,13.39,1350,5040.0,160.905,0,1,-23.52333332,-46.86916666,0.0,0.0,5.7,4,0,4,-23.85138888,-48.16444444,0.0,0.0,8.7,4,0,5,7,0.0,0,0,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.239,92.244,15,6,1,51.92,12.7,700,4200.0,252.75,0,1,-21.85555555,-48.66666666,0.0,0.0,4.5,2,0,3,-23.85138888,-48.16444444,0.2,0.2,2.9,2,1,2,8,0.0,0,0,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.257,125.344,13,3,0,205.0,18.14,3300,54000.0,140.869,0,1,-23.724501,-46.677501,0.0,0.0,6.9,4,0,4,-23.85138888,-48.16444444,0.0,0.0,10.7,4,0,5,8,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.503,7.347,9,4,0,102.0,13.05,473,4368.0,172.703,0,1,-23.48333333,-46.61666666,0.0,0.0,8.0,3,0,5,-23.85138888,-48.16444444,0.0,0.0,6.5,4,0,4,8,0.0,0,0,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.22,122.964,19,4,0,19.9,11.85,150,2304.0,427.477,0,1,-21.45777777,-51.55222222,0.0,0.0,7.0,4,0,4,-23.85138888,-48.16444444,0.0,0.0,11.2,4,0,6,9,0.0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,31.644,19.704,12,2,0,55.0,11.89,150,352.0,131.362,0,1,-23.724501,-46.677501,0.0,0.0,10.7,3,0,5,-23.85138888,-48.16444444,0.0,0.0,8.1,4,0,5,9,0.0,0,0,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.417,6.183,10,2,0,24.99,11.85,850,2000.0,94.444,0,1,-22.70277777,-47.62305554,0.0,0.0,6.2,3,0,4,-23.85138888,-48.16444444,0.0,0.0,7.9,3,0,4,9,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.417,6.183,10,2,0,24.99,11.85,850,2000.0,94.444,0,1,-22.70277777,-47.62305554,0.0,0.0,6.2,3,0,4,-23.85138888,-48.16444444,0.0,0.0,7.9,3,0,4,9,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.179,71.381,17,6,1,37.5,13.37,1250,8640.0,382.281,0,1,-22.11999999,-51.4,0.0,0.0,5.7,3,0,4,-23.85138888,-48.16444444,0.0,0.0,11.5,4,0,6,10,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.179,71.381,17,6,1,37.5,13.37,1250,8640.0,382.281,0,1,-22.11999999,-51.4,0.0,0.0,5.7,3,0,4,-23.85138888,-48.16444444,0.0,0.0,11.5,4,0,6,10,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.241,8.692,9,1,0,59.9,13.44,6875,12480.0,356.005,0,1,-21.08555555,-49.92055554,0.0,0.0,7.3,4,0,4,-23.85138888,-48.16444444,0.0,0.0,11.5,4,0,6,10,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.231,33.592,9,0,0,29.0,11.85,200,352.0,126.873,0,1,-23.724501,-46.677501,0.0,0.0,9.1,4,0,5,-23.85138888,-48.16444444,0.0,0.0,16.7,4,0,7,10,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,62.377,40.038,16,6,1,210.0,13.81,1000,7392.0,140.819,0,1,-23.724501,-46.677501,0.0,0.0,10.6,4,0,5,-23.85138888,-48.16444444,0.0,0.0,11.6,4,0,6,10,0.0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.265,23.965,9,2,0,38.9,12.69,650,4950.0,227.094,0,1,-22.23527777,-49.965,0.0,0.0,8.9,2,0,5,-23.85138888,-48.16444444,0.0,0.0,11.4,4,0,6,11,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.171,82.013,12,6,1,104.36,13.75,1733,8778.0,269.238,0,1,-21.33833333,-48.11388888,0.0,0.0,4.7,4,0,3,-23.85138888,-48.16444444,0.0,0.0,11.4,4,0,6,11,0.2,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.171,82.013,12,6,1,104.36,13.75,1733,8778.0,269.238,0,1,-21.33833333,-48.11388888,0.0,0.0,4.7,4,0,3,-23.85138888,-48.16444444,0.0,0.0,11.4,4,0,6,11,0.2,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.171,82.013,12,6,1,104.36,13.75,1733,8778.0,269.238,0,1,-21.33833333,-48.11388888,0.0,0.0,4.7,4,0,3,-23.85138888,-48.16444444,0.0,0.0,11.4,4,0,6,11,0.2,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.284,53.993,9,3,0,133.0,16.56,584,2288.0,248.473,0,1,-21.33833333,-48.11388888,0.6,0.2,4.9,3,1,3,-23.85138888,-48.16444444,6.8,5.0,7.7,4,2,4,12,14.0,0,0,6.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,3.681,339.243,17,5,1,32.99,12.69,950,14000.0,188.096,0,0,-23.48333333,-46.61666666,0.0,0.0,4.3,1,0,3,-23.85138888,-48.16444444,0.0,0.0,8.0,3,0,5,12,10.8,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,3.681,339.243,17,5,1,32.99,12.69,950,14000.0,188.096,0,0,-23.48333333,-46.61666666,0.0,0.0,4.3,1,0,3,-23.85138888,-48.16444444,0.0,0.0,8.0,3,0,5,12,10.8,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,3.212,53.646,9,6,1,122.99,12.36,400,3600.0,136.403,0,1,-23.48333333,-46.61666666,0.2,0.2,12.9,4,1,6,-23.85138888,-48.16444444,10.6,6.2,12.4,4,2,6,12,0.2,0,0,10.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.136,101.713,10,5,1,159.9,16.75,1600,9240.0,102.371,0,1,-23.52333332,-46.86916666,0.0,0.0,8.0,3,0,5,-23.85138888,-48.16444444,1.6,1.0,7.3,4,1,4,12,5.0,0,0,36.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.136,101.713,10,5,1,159.9,16.75,1600,9240.0,102.371,0,1,-23.52333332,-46.86916666,0.0,0.0,8.0,3,0,5,-23.85138888,-48.16444444,1.6,1.0,7.3,4,1,4,12,5.0,0,0,36.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1.504,49.187,12,1,0,104.9,13.75,1300,9000.0,217.82,0,1,-21.85555555,-48.66666666,0.2,0.2,7.9,3,1,4,-23.85138888,-48.16444444,1.0,1.0,16.3,4,1,7,12,0.8,0,0,1.2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0.16,98.669,20,5,1,69.9,18.38,4450,18000.0,90.904,0,1,-22.70277777,-47.62305554,0.4,0.4,9.2,4,1,5,-23.85138888,-48.16444444,0.0,0.0,6.5,4,0,4,12,0.8,0,0,2.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
